file,true_label,predicted_label
0.jpg,cat,cat
1.jpg,cat,cat
10.jpg,cat,cat
100.jpg,cat,cat
1000.jpg,cat,cat
10000.jpg,cat,cat
10001.jpg,cat,cat
10002.jpg,cat,cat
10003.jpg,cat,cat
10004.jpg,cat,cat
10005.jpg,cat,cat
10006.jpg,cat,cat
10007.jpg,cat,cat
10008.jpg,cat,cat
10009.jpg,cat,cat
1001.jpg,cat,cat
10010.jpg,cat,cat
10011.jpg,cat,cat
10012.jpg,cat,cat
10013.jpg,cat,cat
10014.jpg,cat,cat
10015.jpg,cat,cat
10016.jpg,cat,cat
10017.jpg,cat,cat
10018.jpg,cat,cat
10019.jpg,cat,cat
1002.jpg,cat,cat
10020.jpg,cat,cat
10021.jpg,cat,cat
10022.jpg,cat,cat
10023.jpg,cat,cat
10024.jpg,cat,cat
10025.jpg,cat,cat
10026.jpg,cat,cat
10027.jpg,cat,cat
10028.jpg,cat,cat
10029.jpg,cat,dog
1003.jpg,cat,cat
10030.jpg,cat,cat
10031.jpg,cat,cat
10032.jpg,cat,cat
10033.jpg,cat,cat
10034.jpg,cat,cat
10035.jpg,cat,cat
10036.jpg,cat,cat
10037.jpg,cat,cat
10038.jpg,cat,cat
10039.jpg,cat,cat
1004.jpg,cat,cat
10040.jpg,cat,cat
10041.jpg,cat,cat
10042.jpg,cat,cat
10043.jpg,cat,cat
10044.jpg,cat,cat
10045.jpg,cat,cat
10046.jpg,cat,cat
10047.jpg,cat,cat
10048.jpg,cat,cat
10049.jpg,cat,cat
1005.jpg,cat,cat
10050.jpg,cat,cat
10051.jpg,cat,cat
10052.jpg,cat,cat
10053.jpg,cat,cat
10054.jpg,cat,cat
10055.jpg,cat,cat
10056.jpg,cat,cat
10057.jpg,cat,cat
10058.jpg,cat,cat
10059.jpg,cat,cat
1006.jpg,cat,cat
10060.jpg,cat,cat
10061.jpg,cat,cat
10062.jpg,cat,cat
10063.jpg,cat,cat
10064.jpg,cat,cat
10065.jpg,cat,cat
10066.jpg,cat,cat
10067.jpg,cat,cat
10068.jpg,cat,cat
10069.jpg,cat,cat
1007.jpg,cat,cat
10070.jpg,cat,cat
10071.jpg,cat,cat
10072.jpg,cat,cat
10073.jpg,cat,cat
10074.jpg,cat,cat
10075.jpg,cat,cat
10076.jpg,cat,cat
10077.jpg,cat,cat
10078.jpg,cat,cat
10079.jpg,cat,cat
1008.jpg,cat,cat
10080.jpg,cat,cat
10081.jpg,cat,cat
10082.jpg,cat,cat
10083.jpg,cat,cat
10084.jpg,cat,cat
10085.jpg,cat,cat
10086.jpg,cat,cat
10087.jpg,cat,cat
10088.jpg,cat,cat
10089.jpg,cat,cat
1009.jpg,cat,cat
10090.jpg,cat,cat
10091.jpg,cat,cat
10092.jpg,cat,cat
10093.jpg,cat,cat
10094.jpg,cat,cat
10095.jpg,cat,cat
10096.jpg,cat,cat
10097.jpg,cat,cat
10098.jpg,cat,cat
10099.jpg,cat,cat
101.jpg,cat,cat
1010.jpg,cat,cat
10100.jpg,cat,cat
10101.jpg,cat,cat
10102.jpg,cat,cat
10103.jpg,cat,cat
10104.jpg,cat,cat
10105.jpg,cat,cat
10106.jpg,cat,cat
10107.jpg,cat,cat
10108.jpg,cat,cat
10109.jpg,cat,cat
1011.jpg,cat,cat
10110.jpg,cat,cat
10111.jpg,cat,cat
10112.jpg,cat,cat
10113.jpg,cat,cat
10114.jpg,cat,cat
10115.jpg,cat,cat
10116.jpg,cat,cat
10117.jpg,cat,cat
10118.jpg,cat,cat
10119.jpg,cat,cat
1012.jpg,cat,cat
10120.jpg,cat,cat
10121.jpg,cat,cat
10122.jpg,cat,cat
10123.jpg,cat,cat
10124.jpg,cat,cat
10125.jpg,cat,cat
10126.jpg,cat,cat
10127.jpg,cat,cat
10128.jpg,cat,cat
10129.jpg,cat,cat
1013.jpg,cat,cat
10130.jpg,cat,cat
10131.jpg,cat,cat
10132.jpg,cat,cat
10133.jpg,cat,cat
10134.jpg,cat,cat
10135.jpg,cat,cat
10136.jpg,cat,cat
10137.jpg,cat,cat
10138.jpg,cat,cat
10139.jpg,cat,cat
1014.jpg,cat,cat
10140.jpg,cat,cat
10141.jpg,cat,cat
10142.jpg,cat,cat
10143.jpg,cat,cat
10144.jpg,cat,cat
10145.jpg,cat,cat
10146.jpg,cat,cat
10147.jpg,cat,cat
10148.jpg,cat,cat
10149.jpg,cat,cat
1015.jpg,cat,cat
10150.jpg,cat,cat
10151.jpg,cat,cat
10152.jpg,cat,cat
10153.jpg,cat,cat
10154.jpg,cat,cat
10155.jpg,cat,cat
10156.jpg,cat,cat
10157.jpg,cat,cat
10158.jpg,cat,cat
10159.jpg,cat,cat
1016.jpg,cat,cat
10160.jpg,cat,cat
10161.jpg,cat,cat
10162.jpg,cat,cat
10163.jpg,cat,cat
10164.jpg,cat,cat
10165.jpg,cat,cat
10166.jpg,cat,cat
10167.jpg,cat,cat
10168.jpg,cat,cat
10169.jpg,cat,cat
1017.jpg,cat,cat
10170.jpg,cat,cat
10171.jpg,cat,cat
10172.jpg,cat,cat
10173.jpg,cat,cat
10174.jpg,cat,cat
10175.jpg,cat,cat
10176.jpg,cat,cat
10177.jpg,cat,cat
10178.jpg,cat,cat
10179.jpg,cat,cat
1018.jpg,cat,cat
10180.jpg,cat,cat
10181.jpg,cat,cat
10182.jpg,cat,cat
10183.jpg,cat,cat
10184.jpg,cat,cat
10185.jpg,cat,cat
10186.jpg,cat,cat
10187.jpg,cat,cat
10188.jpg,cat,cat
10189.jpg,cat,cat
1019.jpg,cat,cat
10190.jpg,cat,cat
10191.jpg,cat,cat
10192.jpg,cat,cat
10193.jpg,cat,cat
10194.jpg,cat,cat
10195.jpg,cat,cat
10196.jpg,cat,cat
10197.jpg,cat,cat
10198.jpg,cat,cat
10199.jpg,cat,cat
102.jpg,cat,cat
1020.jpg,cat,cat
10200.jpg,cat,cat
10201.jpg,cat,cat
10202.jpg,cat,cat
10203.jpg,cat,cat
10204.jpg,cat,cat
10205.jpg,cat,cat
10206.jpg,cat,cat
10207.jpg,cat,cat
10208.jpg,cat,cat
10209.jpg,cat,cat
1021.jpg,cat,cat
10210.jpg,cat,cat
10211.jpg,cat,cat
10212.jpg,cat,cat
10213.jpg,cat,cat
10214.jpg,cat,cat
10215.jpg,cat,cat
10216.jpg,cat,cat
10217.jpg,cat,cat
10218.jpg,cat,cat
10219.jpg,cat,cat
1022.jpg,cat,cat
10220.jpg,cat,cat
